-180	0.0000	0.0100	-180	0.0000	0.0100	-180	0.0000	0.0100	-180	0.0000	0.0100
-170	0.8607	0.0248	-170	0.9197	0.0134	-170	0.7883	0.0039	-170	0.7896	0.0100
-160	0.7993	0.1519	-160	0.7958	0.1410	-160	0.9608	0.1319	-160	0.9493	0.1191
-150	0.7151	0.3467	-150	0.7130	0.3367	-150	0.8089	0.3283	-150	0.8022	0.3165
-140	0.6681	0.5859	-140	0.6669	0.5770	-140	0.7252	0.5696	-140	0.7211	0.5591
-130	0.5998	0.8407	-130	0.5990	0.8333	-130	0.6335	0.8271	-130	0.6311	0.8183
-120	0.4935	1.0807	-120	0.4931	1.0749	-120	0.5115	1.0701	-120	0.5103	1.0633
-110	0.3499	1.2772	-110	0.3497	1.2732	-110	0.3576	1.2699	-110	0.3571	1.2652
-100	0.1796	1.4067	-100	0.1796	1.4047	-100	0.1816	1.4030	-100	0.1814	1.4006
-90	0.0000	1.4539	-90	0.0000	1.4539	-90	0.0000	1.4539	-90	0.0000	1.4539
-80	-0.1796	1.4067	-80	-0.1796	1.4047	-80	-0.1816	1.4030	-80	-0.1814	1.4006
-70	-0.3499	1.2772	-70	-0.3497	1.2732	-70	-0.3576	1.2699	-70	-0.3571	1.2652
-60	-0.4935	1.0807	-60	-0.4931	1.0749	-60	-0.5115	1.0701	-60	-0.5103	1.0633
-50	-0.5998	0.8407	-50	-0.5990	0.8333	-50	-0.6335	0.8271	-50	-0.6311	0.8183
-40	-0.6681	0.5859	-40	-0.6669	0.5770	-40	-0.7252	0.5696	-40	-0.7211	0.5591
-30	-0.7151	0.3467	-30	-0.7130	0.3367	-30	-0.8089	0.3283	-30	-0.8022	0.3165
-20	-0.7993	0.1519	-20	-0.7958	0.1410	-20	-0.9608	0.1319	-20	-0.9493	0.1191
-10	-0.7752	0.0399	-10	-0.8087	0.0260	-10	-0.6145	0.0350	-10	-0.6149	0.0270
-3.23	0.117	0.0231	-5.33	-0.079	0.0187	-5.35	-0.107	0.016	-5.53	-0.128	0.0151
-2.2	0.227	0.0231	-3.74	0.078	0.015	-3.73	0.058	0.0129	-3.74	0.053	0.0118
-1.21	0.321	0.0235	-2.11	0.261	0.0128	-2.11	0.236	0.0105	-2.24	0.197	0.0099
-0.16	0.412	0.022	-0.67	0.392	0.0129	-0.66	0.38	0.0103	-0.7	0.397	0.0091
0.86	0.527	0.0245	0.86	0.551	0.0125	1.02	0.582	0.0105	0.86	0.575	0.0098
1.9	0.642	0.0242	2.41	0.723	0.0132	2.57	0.75	0.0111	2.4	0.74	0.0103
2.96	0.751	0.0246	4	0.863	0.0147	4.17	0.927	0.0123	3.96	0.911	0.0109
3.94	0.848	0.0242	5.51	1.018	0.0163	5.72	1.085	0.014	5.54	1.074	0.0122
4.96	0.935	0.0249	7.02	1.164	0.0183	7.21	1.23	0.0156	7.05	1.222	0.0138
5.98	1.022	0.0257	8.55	1.307	0.0206	8.67	1.362	0.0175	8.72	1.372	0.0162
7	1.109	0.026	10.12	1.43	0.0237	10.21	1.48	0.0208	10.23	1.487	0.0196
8.12	1.205	0.0279	11.6	1.524	0.0285	11.69	1.569	0.0258	11.84	1.577	0.0251
9.04	1.283	0.0309	20	1.136839308	0.141019759	13.23	1.628	0.0352	13.09	1.618	0.0332
10.07	1.365	0.036	30	1.018561589	0.336693601	14.67	1.652	0.054	14.53	1.639	0.039
11.14	1.442	0.0416	40	0.952655636	0.577020337	20	1.372579835	0.131948474	20	1.356143512	0.119094016
12.11	1.489	0.0451	50	0.855770811	0.833291908	30	1.155525314	0.328333459	30	1.145975917	0.316486727
20	1.141919959	0.151918228	60	0.704409119	1.074941995	40	1.036015066	0.569625358	40	1.030203072	0.559146308
30	1.0215	0.3467	70	0.4995	1.2732	50	0.9050	0.8271	50	0.9016	0.8183
40	0.9545	0.5859	80	0.2566	1.4047	60	0.7308	1.0701	60	0.7289	1.0633
50	0.8568	0.8407	90	0.0000	1.4539	70	0.5109	1.2699	70	0.5101	1.2652
60	0.7050	1.0807	100	-0.1796	1.4047	80	0.2594	1.4030	80	0.2592	1.4006
70	0.4998	1.2772	110	-0.3497	1.2732	90	0.0000	1.4539	90	0.0000	1.4539
80	0.2566	1.4067	120	-0.4931	1.0749	100	-0.1816	1.4030	100	-0.1814	1.4006
90	0.0000	1.4539	130	-0.5990	0.8333	110	-0.3576	1.2699	110	-0.3571	1.2652
100	-0.1796	1.4067	140	-0.6669	0.5770	120	-0.5115	1.0701	120	-0.5103	1.0633
110	-0.3499	1.2772	150	-0.7130	0.3367	130	-0.6335	0.8271	130	-0.6311	0.8183
120	-0.4935	1.0807	160	-0.7958	0.1410	140	-0.7252	0.5696	140	-0.7211	0.5591
130	-0.5998	0.8407	170	-0.9197	0.0134	150	-0.8089	0.3283	150	-0.8022	0.3165
140	-0.6681	0.5859	180	0.0000	0.0100	160	-0.9608	0.1319	160	-0.9493	0.1191
150	-0.7151	0.3467	9990.0000	0.0000	0.0000	170	-0.7883	0.0039	170	-0.7896	0.0100
160	-0.7993	0.1519	9991.0000	0.0000	0.0000	180	0.0000	0.0100	180	0.0000	0.0100
170	-0.8607	0.0248	9992.0000	0.0000	0.0000	9992	0	0	9992	0	0
180	0.0000	0.0100	9993.0000	0.0000	0.0000	9993	0	0	9993	0	0
