radius(m)   chord(m)    twist(deg)
0.1333      0.2502      24.21
0.2325      0.2318      21.06
0.2975      0.1998      15.87
0.3625      0.1732      11.92
0.4275      0.1512      8.96
0.4925      0.1333      6.77
0.5575      0.1186      5.18
0.6225      0.1067      4.02
0.6875      0.0971      3.16
0.7525      0.0892      2.49
0.8175      0.0826      1.93
0.8825      0.0771      1.44
0.9475      0.0723      0.99
1.0125      0.0680      0.59
1.0775      0.0641      0.25
1.1425      0.0604      -0.06
1.2075      0.0570      -0.36
1.2725      0.0538      -0.67
1.3375      0.0508      -0.98
1.4025      0.0484      -1.28
1.4675      0.0466      -1.59
1.5000      0.0460      -1.74
