Radius (m)	Chord (m)	Twist (degrees)
0.1333	0.153834695	24.377224
0.185636083	0.146344892	20.95944901
0.237818655	0.138397802	18.02545078
0.289694656	0.130239796	15.52963208
0.341111925	0.122068727	13.42014001
0.391919645	0.11403802	11.64199799
0.441968789	0.106262305	10.14008975
0.491112555	0.098823908	8.861827778
0.539206794	0.091779563	7.759369091
0.58611044	0.085166783	6.791280323
0.631685914	0.079009452	5.923597204
0.675799536	0.073322327	5.130268681
0.718321914	0.068114284	4.39301902
0.759128321	0.063390303	3.700699615
0.798099067	0.059152275	3.04823322
0.835119842	0.055398862	2.435274869
0.870082059	0.052124685	1.864724864
0.902883167	0.049319162	1.341229261
0.933426955	0.046965331	0.869793036
0.961623832	0.045038947	0.454611529
0.987391093	0.043508097	0.098199029
1.010653158	0.042333505	-0.199138292
1.031341795	0.041469583	-0.439471614
1.049396321	0.040866231	-0.627080425
1.064763778	0.040471245	-0.767994353
1.077399091	0.040233184	-0.869318928
1.087265199	0.040104431	-0.93843463
1.094333163	0.040044198	-0.982166141
1.098582251	0.040021203	-1.006017172
1.1	0.040015774	-1.013555805
